price,time
28081.14000000,1679471813438
28080.65000000,1679471813744
28080.21000000,1679471814041
28079.96000000,1679471814346
28079.81000000,1679471814652
28079.81000000,1679471814973
28079.82000000,1679471815285
28080.32000000,1679471815592
28081.07000000,1679471815891
28081.07000000,1679471816191
28084.21000000,1679471816492
28085.77000000,1679471816798
28086.19000000,1679471817112
28085.80000000,1679471817414
28085.80000000,1679471817723
28085.87000000,1679471818024
28085.98000000,1679471818328
28085.98000000,1679471818636
28086.13000000,1679471818949
28086.13000000,1679471819256
28086.13000000,1679471819565
28086.67000000,1679471819872
28087.46000000,1679471820481
28087.50000000,1679471820818
28087.62000000,1679471821410
28087.63000000,1679471821716
28087.46000000,1679471822025
28087.21000000,1679471822331
28087.20000000,1679471822927
28087.20000000,1679471823232
28087.45000000,1679471823537
28087.38000000,1679471824133
28087.39000000,1679471824436
28085.99000000,1679471825042
28086.00000000,1679471825338
28085.99000000,1679471825639
28085.99000000,1679471825939
28085.99000000,1679471826238
28085.99000000,1679471826561
28085.99000000,1679471826852
28085.99000000,1679471827163
28085.99000000,1679471827457
28086.00000000,1679471827754
28085.00000000,1679471828054
28082.97000000,1679471828358
28083.10000000,1679471828652
28083.10000000,1679471828949
28083.10000000,1679471829245
28084.90000000,1679471829539
28084.88000000,1679471830142
28084.89000000,1679471830443
28084.88000000,1679471830750
28084.90000000,1679471831057
28084.90000000,1679471831367
28083.59000000,1679471831662
28082.55000000,1679471831976
28082.56000000,1679471832283
28082.55000000,1679471832594
28082.51000000,1679471833063
28082.32000000,1679471833361
28082.33000000,1679471833668
28082.32000000,1679471834269
28082.26000000,1679471834573
28081.06000000,1679471834882
28081.04000000,1679471835184
28081.05000000,1679471835486
28081.01000000,1679471835792
28081.04000000,1679471836102
28081.04000000,1679471836406
28082.55000000,1679471836712
28081.87000000,1679471837020
28077.89000000,1679471837335
28077.88000000,1679471837639
28077.17000000,1679471837962
28076.66000000,1679471838272
28076.65000000,1679471838568
28076.54000000,1679471838872
28076.55000000,1679471839179
28080.91000000,1679471839504
28084.89000000,1679471839814
28084.89000000,1679471840143
28085.87000000,1679471840786
28085.99000000,1679471841103
28086.24000000,1679471841407
28086.28000000,1679471841719
28086.28000000,1679471842020
28087.35000000,1679471842330
28087.35000000,1679471842636
28085.88000000,1679471842939
28085.87000000,1679471843240
28084.85000000,1679471843539
28084.77000000,1679471843840
28084.77000000,1679471844152
28082.01000000,1679471844457
28082.54000000,1679471844755
28082.54000000,1679471845057
28083.87000000,1679471845367
28083.98000000,1679471845688
28082.55000000,1679471846005
28083.03000000,1679471846624
28083.08000000,1679471846919
28083.03000000,1679471847238
28082.64000000,1679471847552
28082.58000000,1679471847878
28082.59000000,1679471848190
28082.65000000,1679471848494
28082.65000000,1679471848834
28082.65000000,1679471849142
28082.65000000,1679471849457
28082.93000000,1679471849765
28084.79000000,1679471850069
28084.79000000,1679471850375
28084.79000000,1679471850679
28084.78000000,1679471850994
28084.78000000,1679471851295
28084.78000000,1679471851610
28084.79000000,1679471851915
